key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr,,,,,,
up,0,0,,,1,,,,,,,,
down,1,-5,,,,,1,,,,,,
up,1,0,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,
up,1,0,,1,,,,,,,,0,wrong
down,1,-5,,,,,1,,,,,1,correct
down,0,0,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,
down,1,1,,,,1,,,,,,,
down,1,-2,,,,,1,,,,,,
down,0,0,,,1,,,,,,,,
down,1,-2,,,,,1,,,,,,
up,1,0,,1,,,,,,,,,
down,1,4,,,,,1,,,,,,
up,0,-2,,,,1,,,,,,,
up,0,-4,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,
up,0,-5,,,,1,,,,,,,
down,1,-4,,,,,1,,,,,,
up,1,0,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,
down,1,-2,,,,,1,,,,,,
down,1,1,,,,,1,,,,,,
up,1,0,,1,,,,,,,,,
down,1,3,,,,,1,,,,,,
down,1,3,,,,,1,,,,,,
down,1,-3,,,,,1,,,,,,
up,0,0,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,
down,1,-4,,,,,1,,,,,,
down,1,-3,,,,,1,,,,,,
down,1,-3,,,,,1,,,,,,
up,1,0,,1,,,,,,,,,
down,1,4,,,,,1,,,,,,
up,1,0,,1,,,,,,,,,
down,1,-2,,,,,1,,,,,,
up,1,0,,1,,,,,,,,,
down,1,-5,,,,,1,,,,,,
up,0,-1,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,
down,1,4,,,,,1,,,,,,
down,1,4,,,,,1,,,,,,
down,1,4,,,,,1,,,,,,
up,1,0,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,
up,0,-2,,,,1,,,,,,,
down,1,-5,,,,,1,,,,,,
down,0,0,,,1,,,,,,,,
down,1,-4,,,,,1,,,,,,
down,1,-5,,,,,1,,,,,,
down,1,-4,,,,,1,,,,,,
down,0,0,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,
up,0,1,,,,1,,,,,,,
down,1,-2,,,,,1,,,,,,
up,1,0,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,
up,0,1,,,,1,,,,,,,
down,1,-4,,,,,1,,,,,,
up,1,0,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,
down,1,1,,,,1,,,,,,,
up,0,2,,,,1,,,,,,,
up,0,0,,,1,,,,,,,,
down,1,-4,,,,,1,,,,,,
up,0,2,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,
up,0,1,,,,1,,,,,,,
down,1,3,,,,,1,,,,,,
down,0,0,,,1,,,,,,,,
down,1,-4,,,,,1,,,,,,
down,0,0,,,1,,,,,,,,
up,0,1,,,,1,,,,,,,
up,0,-4,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,
down,1,-4,,,,,1,,,,,,
up,1,0,,1,,,,,,,,,
up,0,-3,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,
up,0,-4,,,,1,,,,,,,
up,0,-4,,,,1,,,,,,,
up,0,3,,,,1,,,,,,,
down,1,2,,,,,1,,,,,,
,,,,34,17,18,31,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,p of hit,hit/hit+miss,,0.666666667,,,,,,,,
,,p of fa,fa/fa+cr,,0.367346939,,,,,,,,
,,,,,,,,,,,,,
,,d prime ,0.769615601,,,,,,,,,,
,,,,,,,,,,,,,
,,criterion ,-0.045919499,liberal bias ,,,,,,,,,
