tilt,key_resp.corr,,,,,
10,1,,,,,
-8,1,,,,,
6,1,,,,,
4,1,,,,,
-2,1,,,,,
-1,0,,,,,
-2,1,,,,,
-2,1,,,,,
-2,1,,,,,
1,1,,,,,
1,1,,,,,
-1,0,,,,,
-1,0,,,,,
-1,1,,,,,
-1,1,,,,,
1,1,,,,,
-1,1,,,,,
-1,0,,,,,
6,1,,,,,
6,1,,,,,
6,1,,,,,
1,1,,,,,
-1,1,,,,,
1,1,,,,,
-1,0,,,,,
-6,1,,,,,
6,1,,,,,
6,1,,,,,
1,1,,,,,
1,1,,,,,
-1,1,,,,,
-1,0,,,,,
6,0,,,,,
11,1,,,,,
-11,1,,,,,
11,1,,,,,
6,1,,,,,
-6,1,,,,,
-6,1,,,,,
-1,0,,,,,
6,1,,,,,
6,1,,,,,
-6,1,,,,,
1,1,,,,,
1,0,,,,,
-6,1,,,,,
-6,1,,,,,
6,1,,,,,
-1,1,,,,,
-1,1,,,,,
-1,1,,,,,
-1,1,,,,,
1,1,,,,,
1,1,,,,,
1,1,,,,,
-1,0,,,,,
-6,1,,,,,
6,1,,,,,
-6,1,,,,,
-1,0,,,,,
6,0,,,,,
-11,0,,,,,
-16,1,,,,,
-16,1,,,,,
16,1,,,,,
11,1,,,,,
-11,1,,,,,
11,1,,,,,
6,1,,,,,
-6,1,,,,,
6,1,,,,,
1,1,,,,,
-1,1,,,,,
-1,1,,,,,
1,1,,,,,
-1,1,,,,,
1,0,,,,,
-6,0,,,,,
11,1,,,,,
11,1,,,,,
-11,1,,,,,
6,1,,,,,
-6,1,,,,,
6,1,,,,,
-1,1,,,,,
-1,1,,,,,
-1,1,,,,,
-1,1,,,,,
-1,1,,,,,
-1,1,,,,,
-1,0,,,,,
-6,1,,,,,
6,1,,,,,
-6,1,,,,,
-1,1,,,,,
1,1,,,,,
1,1,,,,,
1,1,,,,,
-1,0,,,,,
-6,1,,,,,
,,,,,,accuracy
1,1,,mean,absolute threshoild ,,correct resp/no of trals *100
-1,0,,1,2,,
1,1,,1,,,
-1,0,,1,,,
1,1,,1,,,
-1,0,,6,,,
1,1,,,,,
-1,0,,,,,
-6,1,,,,,
-1,0,,,,,
